family,m,n,k,int8_ms,b1_prepacked_ms,b1_pack_a_ms,b1_pack_both_ms,speedup_prepacked,speedup_pack_a,speedup_pack_both,int8_tops,b1_tops
square,256,256,256,0.009900952884445053,0.005856362154747505,0.016450731451005556,0.026796967293552184,1.6906319354616364,0.6018548727716211,0.36948035111523214,3.389010370175165,5.729569161428796
square,512,512,512,0.009388762635070007,0.005374368643945299,0.015588061469204988,0.02488413087469603,1.7469517364885785,0.6023046966820081,0.37729919852724997,28.59114309667478,49.94734708092945
square,1024,1024,1024,0.014394782442014295,0.007139901497724614,0.016726193571260962,0.02626066746505788,2.016103786109894,0.8606131682433408,0.5481499075058855,149.18486310234903,300.77216733093206
square,2048,2048,2048,0.05653854747543066,0.018452545813528815,0.033985658346517414,0.05246170294089396,3.063997133337472,1.6636001839059356,1.0777108691864212,303.8611699648929,931.029753705002
square,4096,4096,4096,0.36730933794515386,0.07226131452980455,0.14309621411700582,0.2139639828931839,5.0830702476863365,2.5668697121841055,1.7166877012591588,374.1776733498733,1901.9713987532375
square,8192,8192,8192,2.49980117335464,0.3708309826550183,0.624243093091388,0.8827217856606284,6.7410796030497515,4.004531569544612,2.831924184904749,439.8396318457985,2964.9939708486245
square,16384,16384,16384,20.601600646972656,2.708645236107611,3.630926049273947,4.648049672444661,7.605868931206975,5.673924604190776,4.4323107752282604,426.961631425496,3247.4142072766235
k_sweep,4096,4096,256,0.0541854559206495,0.04493998785869365,0.051047351370998785,0.058305349995945804,1.2057292069376317,1.0614743853573088,0.929339347494136,158.528417746993,191.14234340715947
k_sweep,4096,4096,512,0.07384041226657995,0.044821678756397226,0.055005453037143166,0.06640546555147439,1.64742629716967,1.342419854568205,1.111962873136434,232.6621514784741,383.2937467017114
k_sweep,4096,4096,1024,0.11308980392197432,0.04832143098673478,0.06747693838598758,0.0871897951484247,2.340365374382637,1.6759771060605624,1.2970532128153252,303.8270222106523,711.066242583595
k_sweep,4096,4096,2048,0.18067704797060175,0.05347563332327217,0.08876104418295715,0.12617489065657655,3.378679909751953,2.035544417415644,1.4319572383254084,380.3442523987964,1285.0614843694395
k_sweep,4096,4096,4096,0.3276925534618144,0.06829984230763467,0.13876176169674773,0.21011620869473835,4.797852270080343,2.3615479470342793,1.5595776998712827,419.41433218443757,2012.2880057753348
k_sweep,4096,4096,8192,0.6414991455078125,0.0989086365641475,0.23705600986819297,0.3677052489114464,6.485774830105623,2.706107918818412,1.744601545414173,428.4930211815105,2779.1092516549566
k_sweep,4096,4096,16384,1.3711880182815808,0.16503060053265284,0.4246132663948826,0.6827303353002515,8.308689502770601,3.2292632538861867,2.008388887068507,400.93393944396666,3331.2356139625495
k_sweep,4096,4096,32768,2.600497584189138,0.30145274932973937,0.7958102084622525,1.3069048235493321,8.626551225593978,3.2677358954895674,1.989814053273311,422.80817119806676,3647.3763474398315
batch,32,8192,8192,0.051193701430533894,0.009025299898926883,0.0156678715436811,0.2732542122590257,5.672243803956129,3.2674317815160077,0.18734826082756187,83.89640084587273,475.8808398722214
batch,64,8192,8192,0.0570681103620033,0.00901796239265847,0.016235759467615796,0.2747581429677467,6.328271052501006,3.514964019751131,0.20770307203853247,150.52074683235512,952.5360849800254
batch,128,8192,8192,0.07956083386751722,0.012726368966316518,0.018611050873335637,0.28035042502663354,6.251652303818524,4.274924312925573,0.28379066612778947,215.9337496714464,1349.9427236056706
batch,256,8192,8192,0.12379462652531203,0.021113646445833266,0.030025294663534825,0.2955783395206227,5.8632518472309,4.12301121146559,0.41882171314070465,277.55436025306426,1627.3711154607697
batch,512,8192,8192,0.185034914500153,0.03252656828097211,0.05183668581315273,0.3184680635966952,5.688731528693039,3.569574551257352,0.581015604548905,371.3865403274644,2112.718321293076
batch,1024,8192,8192,0.33314558664957683,0.052934170399190884,0.08911308679389529,0.3543946257734721,6.293582843317198,3.73845861068746,0.9400413054302986,412.5492246624501,2596.412722359408
batch,2048,8192,8192,0.64224462890625,0.10005222710002978,0.16963905399128543,0.4319121489653716,6.419093782531692,3.7859479512261545,1.4869797722632287,427.99564927793983,2747.3442112306384
